id,repo,base_commit,query_source,query_text,proposed_no_gold_reason,source_url,resolution_comments,rerun_status,linked_commits,why_no_local_fix,evidence_snippets,source_sample_id,source_repo,source_task_type,pairing_profile,verdict,notes,has_local_gold_files,evidence_summary
abstention_candidate__organic_issue__3ed945493c9731a4eb3ee384,pytest-dev/pytest,bf92debb4fd874289f6aed29c6947b611b1de0ae,issue,"Issue title: Memory leak when running `pytest` on macOS
Issue body excerpt: ## Description

Running pytest on macOS (both for the Pytest library itself as well as a few other libraries) leaks a small amount of memory.

## Steps to reproduce
```bash
> git clone https://github.com/pytest-dev/pytest.git
> pip install .
> sudo leaks --atExit -- python -m pytest | grep bytes

Process 95884: 3 leaks for 4656 total leaked bytes.
    1 (560 bytes) ROOT LEAK: <malloc in _PyObject_Malloc 0x105d5ad10> [560]
```

When running pytest on other projects, I get a leak of a different size and a different source: but it only occurs when running pytest. Importing the package and calling functions from it does not leak any memory.

```bash
> sudo leaks --atExit -- python -m pytest <my_libraries> | grep bytes
   1 (16 bytes) ROOT LEAK: <non-object from libedit.3.dylib 0x127092d20> [16]
```


## pip list
``` bash
> pip list
Package            Version
------------------ ----------------------
argcomplete        3.6.2
attrs              25.3.0
certifi            2025.8.3
charset-normalizer 3.4.2
elementpath        5.0.3
hypothesis         6.137.1
idna               3.10
iniconfig          2.1.0
mock               5.2.0
packaging          25.0
pip                25.2
pluggy             1.6.0
Pygments           2.19.2
pytest             8.5.0.dev66+g5989efe3e
requests           2.32.4
setuptools         80.9.0
sortedcontainers   2.4.0
urllib3            2.5.0
xmlschema          4.1.0
```

I reproduced this behavior in a `uv` environment, and in a `micromamba` environment where I installed pip.

```bash
> pytest --version
pytest 8.4.1 # Built from source
> python --version
Python 3.15.5
```",upstream_dependency,https://github.com/pytest-dev/pytest/issues/13636,"[""Based on the details this is a upstream bug with apples libedit version \n\nClosing as not planned since pytest can't act on this atm""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by RonnyPfannschmidt classified as upstream_dependency."", ""Based on the details this is a upstream bug with apples libedit version \n\nClosing as not planned since pytest can't act on this atm""]",,,,,valid_no_gold,Maintainer attributes macOS memory leak to Apple libedit and says pytest cannot act on it.,,
abstention_candidate__organic_issue__47097e7d8f29ad1aa2e839b5,pytest-dev/pytest,a0e3a49f194175bec96a551791b2b02b23e06a09,issue,"Issue title: SystemError occured in Windows Python 3.13.0
Issue body excerpt: I encountered the following error when using Pytest 8.3.3 in Windows Python 3.13.0 in GitHub Actions:

```
> Run poetry run pytest --cov-append --cov-report=xml --junitxml=junit.xml
Exception ignored on threading shutdown:
Traceback (most recent call last):
  File ""C:\hostedtoolcache\windows\Python\3.13.0\x64\Lib\threading.py"", line 1524, in _shutdown
    if _main_thread._handle.is_done() and _is_main_interpreter():
SystemError: <method 'is_done' of '_thread._ThreadHandle' objects> returned a result with an exception set
Error: Process completed with exit code 1.
```

I saw a similar issue in the cpython repository: https://github.com/python/cpython/issues/125842. I wonder if this is just a bug with Python 3.13.0 and not pytest's.",upstream_dependency,https://github.com/pytest-dev/pytest/issues/13024,"[""Closing this as resolved upstream.\n\n@lkstrp, if you can open a new issue with a minimal reproducing example for us to confirm the bug that'd be great 🙏""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by Zac-HD classified as upstream_dependency."", ""Closing this as resolved upstream.\n\n@lkstrp, if you can open a new issue with a minimal reproducing example for us to confirm the bug that'd be great 🙏""]",,,,,valid_no_gold,Maintainer closes as resolved upstream in Python/Windows threading and requests a new minimal repro only if needed.,,
abstention_candidate__organic_issue__2287e848e7d5b393d190fe6a,pypa/pip,bca2f4ed594ce881fb0cab6117fa05b7ef13b558,issue,"Issue title: Package download interrupted then pip reports invalid md5 hash
Issue body excerpt: * Pip version: 9.0.1
* Python version: tried on 2.7 and 3.5
* Operating system: Linux
* Devpi-server: 4.3.0

### Description:

I am running devpi-server as cache of public packages, because I have slow internet connection. Which works fine except for `pandas` package which is unusually big `20M-24M`. When server cache is empty (download is slow) the **download is interrupted** at about 85%-95%. But then **pip does not report timeout error**, but instead computes hash of downloaded part and reports md5 hash mismatch.
I am not sure if this is caused by pip timeout or some bug in devpi.

### What I've run:

When server cache is cold, I can reproduce the error by running pip install or download.
Notice that it gets interrupted at different moment in time:
```
pip3 download pandas==0.20.3
Collecting pandas==0.20.3
  Downloading http://devpi.ai-traders.com/root/pypi/+f/a0f/df9f6d772ed81/pandas-0.20.3-cp35-cp35m-manylinux1_x86_64.whl (24.0MB)
    89% |############################    | 21.5MB 43.7MB/s eta 0:00:01
THESE PACKAGES DO NOT MATCH THE HASHES FROM THE REQUIREMENTS FILE. If you have updated the package versions, please update the hashes. Otherwise, examine the package contents carefully; someone may have tampered with them.
    pandas==0.20.3 from http://devpi.ai-traders.com/root/pypi/+f/a0f/df9f6d772ed81/pandas-0.20.3-cp35-cp35m-manylinux1_x86_64.whl#md5=a0fdf9f6d772ed8168ec6ce555ac7aba:
        Expected md5 a0fdf9f6d772ed8168ec6ce555ac7aba
             Got        d01f88a8b5728ce6cc6648762056c379
```

```
pip download pandas==0.20.3
Collecting pandas==0.20.3
  Downloading http://devpi.ai-traders.com/root/pypi/+f/a0f/df9f6d772ed81/pandas-0.20.3-cp35-cp35m-manylinux1_x86_64.whl (24.0MB)
    92% |#############################   | 22.2MB 26.4MB/s eta 0:00:01
THESE PACKAGES
...[truncated]",upstream_dependency,https://github.com/pypa/pip/issues/4930,"[""I think this is proper-ish behaviour. It seems that the network link/server is not very reliable and, when pip is unable to properly download the files, for whatever reason, that's being caught by the hash check and installation/download aborted.\n\nCould you try and see if you able to reproduce the same timeout + not-matching-hash behaviour with a simple requests-based script to download the same file? If so, I think this'll be an upstream issue.""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by pradyunsg classified as upstream_dependency."", ""I think this is proper-ish behaviour. It seems that the network link/server is not very reliable and, when pip is unable to properly download the files, for whatever reason, that's being caught by the hash check and installation/download aborted.\n\nCould you try and see if you able to reproduce the same timeout + not-matching-hash behaviour with a simple requests-based script to download the same file? If so, I think this'll be an upstream issue.""]",,,,,valid_no_gold,Maintainer frames the interrupted download as unreliable network/server behavior caught by hash checking; no pip repo fix is indicated.,,
abstention_candidate__organic_issue__0eed426863fd0dbb531755fa,pytest-dev/pytest,c9d8765381d71197fc981a9636828aea5063dc7f,issue,"Issue title: pytest 8.2.0 regresses collection and now collects non-Test* classes
Issue body excerpt: Discovered while testing [libcloud](https://github.com/apache/libcloud) with pytest 8.2.0, as seen in https://github.com/apache/libcloud/blob/trunk/libcloud/test/__init__.py#L90 the MockHttp class is also collected and attempted to be instantiated, leading to collection errors like the following:

```
[   20s] ___________ ERROR collecting libcloud/test/common/test_cloudstack.py ___________
[   20s] libcloud/test/__init__.py:111: in __init__
[   20s]     super().__init__(*args, **kwargs)
[   20s] E   TypeError: LibcloudConnection.__init__() missing 1 required positional argument: 'port'
[   20s] _______ ERROR collecting libcloud/test/common/test_openstack_identity.py _______
[   20s] libcloud/test/__init__.py:111: in __init__
[   20s]     super().__init__(*args, **kwargs)
[   20s] E   TypeError: LibcloudConnection.__init__() missing 1 required positional argument: 'port'
[   20s] _______ ERROR collecting libcloud/test/common/test_openstack_identity.py _______
[   20s] libcloud/test/compute/test_openstack.py:3841: in __init__
[   20s]     super().__init__(*args, **kwargs)
[   20s] libcloud/test/__init__.py:111: in __init__
[   20s]     super().__init__(*args, **kwargs)
[   20s] E   TypeError: LibcloudConnection.__init__() missing 1 required positional argument: 'port'
```

I bisected this down to first occurring with https://github.com/pytest-dev/pytest/commit/1a5e0eb71d2af0ad113ccd9ee596c7d724d7a4b6 (sixth commit or so of 8.2.0)

pip list output:

```
Package            Version
------------------ ----------
apipkg             3.0.2
attrs              23.2.0
bcrypt             4.1.3
certifi            2023.11.17
cffi               1.16.0
charset-normalizer 3.3.2
cryptography       42.0.7
fasteners          0.19
idna               3.7
iniconfig          2.0.0
libvirt-pytho
...[truncated]",upstream_dependency,https://github.com/pytest-dev/pytest/issues/12425,"[""https://github.com/apache/libcloud/blob/6f1f83d57fb6bbf7d932ea2c4e312ba5fd86fb81/libcloud/test/common/test_cloudstack.py#L119 is fundamentally broken, it was pure dumb luck it ever worked\n\nimho its a upstream bug that was accidentially hidden, not something to support \n\nbased on the inheritance tree, yout bugfix hides large parts of the testsuite""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by RonnyPfannschmidt classified as upstream_dependency."", ""https://github.com/apache/libcloud/blob/6f1f83d57fb6bbf7d932ea2c4e312ba5fd86fb81/libcloud/test/common/test_cloudstack.py#L119 is fundamentally broken, it was pure dumb luck it ever worked\n\nimho its a upstream bug that was accidentially hidden, not something to support \n\nbased on the inheritance tree, yout bugfix hides large parts of the testsuite""]",,,,,valid_no_gold,Maintainer identifies the libcloud test class hierarchy as the upstream bug hidden by prior pytest behavior; no pytest repo fix is indicated.,,
abstention_candidate__organic_issue__cb453cb8b04c3f763b510228,pytest-dev/pytest,486a9ed057ee43a70d0a2e1c57bb3b8f925dc42c,issue,"Issue title: Add an exit code to differentiate full-passed tests from xpassed & xfailed tests executions
Issue body excerpt: <!--
Thanks for suggesting a feature!

Quick check-list while suggesting features:
-->

#### What's the problem this feature will solve?
<!-- What are you trying to do, that you are unable to achieve with pytest as it currently stands? -->
In the case of no test failures, I would like to differentiate executions with 100% passed tests from those with at least one xpassed or xfailed test.

#### Describe the solution you'd like
<!-- A clear and concise description of what you want to happen. -->
If the execution has
`failed tests = 0 and (xfailed tests > 0 or xpassed tests > 0)`
I want the test execution to return a different exit code (example: `ExitCode.TESTS_XFAILED = 6`)

<!-- Provide examples of real-world use cases that this would enable and how it solves the problem described above. -->

#### Alternative Solutions
<!-- Have you tried to workaround the problem using a pytest plugin or other tools? Or a different approach to solving this issue? Please elaborate here. -->
Implement `pytest_runtest_makereport` hook to detect xpassed and xfailed tests
Implement `pytest_sessionfinish` hook to override exit status

#### Additional context
<!-- Add any other context, links, etc. about the feature here. -->
Useful when executing pytest from a CI tool (like jenkins) and set job execution status to `unstable` if `failed tests = 0 and (xfailed tests > 0 or xpassed tests > 0)`",upstream_dependency,https://github.com/pytest-dev/pytest/issues/11463,"[""See https://github.com/pytest-dev/pytest/issues/7233#issuecomment-631613486 for some more background regarding `xfail_strict`.\n\nThe predominant usage of xfail is not dealing with flaky tests, but e.g. keeping a test around which is broken due to an upstream bug. The flaky tests usecase is a very exotic one (and indeed not the intended one) - there are better solutions for that, e.g. [pytest-rerunfailures](https://github.com/pytest-dev/pytest-rerunfailures).\n\nA change which breaks xfail for its intended purpose seems unacceptable to me - and given that I'm not the only core developer with that stance, taking the freedom to close this.""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by The-Compiler classified as upstream_dependency."", ""See https://github.com/pytest-dev/pytest/issues/7233#issuecomment-631613486 for some more background regarding `xfail_strict`.\n\nThe predominant usage of xfail is not dealing with flaky tests, but e.g. keeping a test around which is broken due to an upstream bug. The flaky tests usecase is a very exotic one (and indeed not the intended one) - there are better solutions for that, e.g. [pytest-rerunfailures](https://github.com/pytest-dev/pytest-rerunfailures).\n\nA change which breaks xfail for its intended purpose seems unacceptable to me - and given that I'm not the only core developer with that stance, taking the freedom to close this.""]",,,,,valid_no_gold,Maintainer rejects the exit-code feature because it breaks intended xfail semantics; no pytest repo change is needed.,,
abstention_candidate__organic_issue__9c50de51f40378ca0171b0bd,pytest-dev/pytest,2f33ea87c8d303c3439655eb2bea24483bffde5e,issue,"Issue title: PyTest internal error when using ""except*"" on an unhashable exception
Issue body excerpt: **Tl;dr:** A strange exception thrown by `except*` from ""line -1"" causes PyTest to crash when trying to retrieve the line it came from. Code to reproduce:

```
class MyException(Exception):
    __hash__ = None


def test_broken():
    try:
        raise ExceptionGroup(""Foo"", [
            MyException(""Bar"")
        ])
    except* Exception:
        pass
```

And then run that test function (`test_broken`) with pytest.

Expected result: test succeeds.

Expected result once you know about the weird behavior of `expect*` (see below): test fails with a `TypeError`.

Actual result: pytest fails with the following traceback; test is marked as ""not run"".

```
Launching pytest with arguments test_broken.py::test_broken --no-header --no-summary -q in C:\Users\Josep\PycharmProjects\sloge\tests

============================= test session starts =============================
collecting ... collected 1 item

test_broken.py::test_broken 
INTERNALERROR> Traceback (most recent call last):
INTERNALERROR>   File ""C:\Users\Josep\PycharmProjects\sloge\venv\Lib\site-packages\_pytest\main.py"", line 270, in wrap_session
INTERNALERROR>     session.exitstatus = doit(config, session) or 0
INTERNALERROR>                          ^^^^^^^^^^^^^^^^^^^^^
INTERNALERROR>   File ""C:\Users\Josep\PycharmProjects\sloge\venv\Lib\site-packages\_pytest\main.py"", line 324, in _main
INTERNALERROR>     config.hook.pytest_runtestloop(session=session)
INTERNALERROR>   File ""C:\Users\Josep\PycharmProjects\sloge\venv\Lib\site-packages\pluggy\_hooks.py"", line 265, in __call__
INTERNALERROR>     return self._hookexec(self.name, self.get_hookimpls(), kwargs, firstresult)
INTERNALERROR>            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
INTERNALERROR>   File ""C:\Users\Josep\PycharmProjects\s
...[truncated]",upstream_dependency,https://github.com/pytest-dev/pytest/issues/10466,"[""Confirmed as an upstream bug - thanks again for the report @joseph-e-k! I'd guess that this will be fixed in Python 3.11.1 🙂""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by Zac-HD classified as upstream_dependency."", ""Confirmed as an upstream bug - thanks again for the report @joseph-e-k! I'd guess that this will be fixed in Python 3.11.1 🙂""]",,,,,valid_no_gold,Maintainer confirms the pytest internal error is an upstream Python bug expected to be fixed upstream.,,
abstention_candidate__organic_issue__bd224d5d72e4f9457c29d18c,pytest-dev/pytest,5fc7b21391c959bb5a54174d9084ad55131b8fdb,issue,"Issue title: Inscrutable error `AttributeError: __get__`
Issue body excerpt: Running `pytest` via `setup.py test` gives a cryptic attribute error:

```sh
python setup.py test               
running test
WARNING: Testing via this command is deprecated and will be removed in a future version. Users looking for a generic test entry point independent of test runner are encouraged to use tox.
running egg_info
writing microsoft_bonsai_api.egg-info/PKG-INFO
writing dependency_links to microsoft_bonsai_api.egg-info/dependency_links.txt
writing requirements to microsoft_bonsai_api.egg-info/requires.txt
writing top-level names to microsoft_bonsai_api.egg-info/top_level.txt
reading manifest file 'microsoft_bonsai_api.egg-info/SOURCES.txt'
writing manifest file 'microsoft_bonsai_api.egg-info/SOURCES.txt'
running build_ext
Traceback (most recent call last):
  File ""/Users/alex/GitHub/microsoft-bonsai-api/Python/setup.py"", line 19, in <module>
    setup(
  File ""/Users/alex/GitHub/microsoft-bonsai-api/Python/venv/lib/python3.9/site-packages/setuptools/__init__.py"", line 153, in setup
    return distutils.core.setup(**attrs)
  File ""/usr/local/Cellar/python@3.9/3.9.7/Frameworks/Python.framework/Versions/3.9/lib/python3.9/distutils/core.py"", line 148, in setup
    dist.run_commands()
  File ""/usr/local/Cellar/python@3.9/3.9.7/Frameworks/Python.framework/Versions/3.9/lib/python3.9/distutils/dist.py"", line 966, in run_commands
    self.run_command(cmd)
  File ""/usr/local/Cellar/python@3.9/3.9.7/Frameworks/Python.framework/Versions/3.9/lib/python3.9/distutils/dist.py"", line 985, in run_command
    cmd_obj.run()
  File ""/Users/alex/GitHub/microsoft-bonsai-api/Python/venv/lib/python3.9/site-packages/setuptools/command/test.py"", line 223, in run
    self.run_tests()
  File ""/Users/alex/GitHub/microsoft-bonsai-api/Python/venv/lib/python3.9/site-packages/setuptools/com
...[truncated]",upstream_dependency,https://github.com/pytest-dev/pytest/issues/9199,"[""https://github.com/microsoft/microsoft-bonsai-api/blob/789129d17eb2a187fd353f471e10a4377412629e/Python/setup.py#L37 is incorrectly configured and uses unit-test as the wrong test-runner/collector\n\nthis is a upstream issue\n\nnote that `setup.py test` usage is discouraged and will no longer be unsupported by setuptools in future""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by RonnyPfannschmidt classified as upstream_dependency."", ""https://github.com/microsoft/microsoft-bonsai-api/blob/789129d17eb2a187fd353f471e10a4377412629e/Python/setup.py#L37 is incorrectly configured and uses unit-test as the wrong test-runner/collector\n\nthis is a upstream issue\n\nnote that `setup.py test` usage is discouraged and will no longer be unsupported by setuptools in future""]",,,,,valid_no_gold,"Maintainer identifies the external project setup.py test configuration as wrong and upstream, not a pytest repository bug.",,
abstention_candidate__organic_issue__0c98daf49c141da00ce3ff80,astral-sh/ruff,31db1b6e162356b62e7dc8811f297020da824183,issue,"Issue title: Unable to upload ruff==0.3.2 to Azure Artifacts because it doesn't support Metadata-Version=2.3
Issue body excerpt: When attempting to upload `ruff==0.3.2` to Azure Artifacts, I get the following error:

```
Uploading ruff-0.3.2-py3-none-musllinux_1_2_x86_64.whl
INFO     Response from                                                          
         https://pkgs.dev.azure.com/ORGNAME/_packaging/REPONAME/pypi/upload:    
         400 Bad Request - Metadata version '2.3' is unsupported. Supported     
         versions are: 1.0,1.1,1.2,2.0,2.1. (DevOps Activity ID:                
         27498FFA-3436-49CE-B4F4-27A5F86057FE)                                  
INFO     {""$id"":""1"",""innerException"":null,""message"":""Metadata version '2.3' is  
         unsupported. Supported versions are:                                   
         1.0,1.1,1.2,2.0,2.1."",""typeName"":""Microsoft.VisualStudio.Services.Packa
         ging.Shared.WebApi.Exceptions.InvalidPackageException,                 
         Microsoft.VisualStudio.Services.Packaging.Shared.WebApi"",""typeKey"":""Inv
         alidPackageException"",""errorCode"":0,""eventId"":3000}                    
ERROR    HTTPError: 400 Bad Request from                                        
         https://pkgs.dev.azure.com/ORGNAME/_packaging/REPONAME/pypi/upload     
         Bad Request - Metadata version '2.3' is unsupported. Supported versions
         are: 1.0,1.1,1.2,2.0,2.1. (DevOps Activity ID:                         
         27498FFA-3436-49CE-B4F4-27A5F86057FE)                                  
```

The error is, in practice, on Azure Artifacts' side, as they are not, it would seem, compliant with the spirit of the Python packaging spec:

https://packaging.python.org/en/latest/specifications/core-metadata/#metadata-version

> Automated tools consuming metadata SHOULD warn if metadata_version is greater than the highest version they support, and
...[truncated]",upstream_dependency,https://github.com/astral-sh/ruff/issues/10378,"[""Thanks for reporting this in maturin and on the Microsoft platform. Let's see if this gets resolved upstream.""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by MichaReiser classified as upstream_dependency."", ""Thanks for reporting this in maturin and on the Microsoft platform. Let's see if this gets resolved upstream.""]",,,,,valid_no_gold,Maintainer defers to maturin/Microsoft platform support for wheel metadata version; no Ruff repo-local fix is indicated.,,
abstention_candidate__organic_issue__5b90e65c10f2d40c976e10e7,eslint/eslint,0f5a94a84beee19f376025c74f703f275d52c94b,issue,"Issue title: Bug: [no-unused-vars] False positive when returning an assignment
Issue body excerpt: ### Environment

Node version: v24.11.0
npm version: v11.6.3
Local ESLint version: v9.36.0 (Currently used)
Global ESLint version: Not found
Operating System: linux 6.17.8-200.fc42.x86_64


### What parser are you using?

Default (Espree)

### What did you do?

<details>
<summary>Configuration</summary>

```js
rules: {
  ""no-unused-vars"": ""warn""
}
```
</details>

```js
function _foobar() {
  let foo;

  if (Math.random()) {
    return (foo = { bar: true }); // 'foo' is assigned a value but never used.  ([no-unused-vars](https://eslint.org/docs/rules/no-unused-vars))
  }

  return;
}
```


### What did you expect to happen?

No warning should be given



### What actually happened?

A warning is given despite the result of the assignment being used as the return value of the function in the same line



### Link to Minimal Reproducible Example

https://eslint.org/play/#eyJ0ZXh0IjoiLyogZXNsaW50IG5vLXVudXNlZC12YXJzOiBbXCJlcnJvclwiXSAqL1xuXG5leHBvcnQgZnVuY3Rpb24gX2Zvb2JhcigpIHtcbiAgbGV0IGZvbztcblxuICBpZiAoTWF0aC5yYW5kb20oKSkge1xuICAgIHJldHVybiAoZm9vID0geyBiYXI6IHRydWUgfSk7XG4gIH1cblxuICByZXR1cm47XG59XG4iLCJvcHRpb25zIjp7InJ1bGVzIjp7fSwibGFuZ3VhZ2VPcHRpb25zIjp7ImVjbWFWZXJzaW9uIjoibGF0ZXN0Iiwic291cmNlVHlwZSI6Im1vZHVsZSIsInBhcnNlck9wdGlvbnMiOnsiZWNtYUZlYXR1cmVzIjp7fX19fX0=

### Participation

- [ ] I am willing to submit a pull request for this issue.

### Additional comments

This might seem a bit silly in isolation, but was simplified from a larger function where I created a `result` variable at the top to return various different results that should all match a given type interface to make narrowing of the result easier outside of the function.

This issue was mostly copypaste from a downstream issue in typescript-eslint (https://github.com/typescript-eslint/typescript-eslin
...[truncated]",user_error,https://github.com/eslint/eslint/issues/20353,"[""This is not a bug in the core `no-unused-vars` rule. Assignment expression `left = right` always evaluates to `right` (the value of `left` is not read), so `return (foo = { bar: true });` doesn't actually read from `foo`, which means that the variable `foo` is never read in the original code example.""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by mdjermanovic classified as user_error."", ""This is not a bug in the core `no-unused-vars` rule. Assignment expression `left = right` always evaluates to `right` (the value of `left` is not read), so `return (foo = { bar: true });` doesn't actually read from `foo`, which means that the variable `foo` is never read in the original code example.""]",,,,,valid_no_gold,Maintainer explains the reported no-unused-vars behavior follows JavaScript assignment-expression semantics; no ESLint repo change is needed.,,
abstention_candidate__organic_issue__e783b22ef915b1c2fb513b60,microsoft/playwright,ee8208beda1156f29aac8869570b273f2c135c0e,issue,"Issue title: [Bug]: Uncaught exceptions from browser.Close()
Issue body excerpt: ### Version

1.49.0

### Steps to reproduce

1. Create a new node.js project, install playwright, open in VSCode
3. Create an example test:
 
```
import { test } from '@playwright/test';
import * as playwright from '@playwright/test';

test.describe('Sample test', () => {
   test('should open Google', async () => {
      const browser = await playwright.chromium.launch();
      const page = await browser.newPage();
      await page.goto('https://google.com');
      await browser.close();
   });
});
```

4. Check ""Uncaught Exceptions"" option in Run and Debug/Breakpoints settings in VSCode
5. Start a new Javascript Debug Terminal and execute npx playwright install
6. Notice the exception ""Exception has occurred: TargetClosedError:Target page, context or browser has been closed""

### Expected behavior

No uncaught exceptions when closing the browser gracefully.

### Actual behavior

While debugging our Playwright tests in VSCode, we noticed they consistently end with TargetClosedError exceptions, even when the test results are successful. 

Initially, we suspected unresolved promises due to missing await statements, but the same issue occurs even with a minimal test case. Reproduction steps are provided below.


### Environment

```shell
System:
	Windows 10 Enterprise 19045.5131
	CPU: (6) 64bit
Binaries:
	Node: v20.12.2
	npm: 10.5.0
npm packages:
	@playwright/test: 1.49.0
```",upstream_dependency,https://github.com/microsoft/playwright/issues/33880,"[""We can reproduce in Node 20, but not in Node 22. Looks like this is an upstream bug in Node.js. Try upgrading Node!""]",,[],Maintainer resolution evidence classifies the issue as no repository-local fix; automatic checks found no issue closing commit event.,"[""Maintainer comment by Skn0tt classified as upstream_dependency."", ""We can reproduce in Node 20, but not in Node 22. Looks like this is an upstream bug in Node.js. Try upgrading Node!""]",,,,,valid_no_gold,Maintainer reproduces only on Node 20 and identifies an upstream Node.js bug; suggested fix is upgrading Node.,,
